A,EB,MS,S,FM,LF,HS,DP,LP,OHV,HV,SLF,LONI,GDPPCA,LNI,LFDLE,TE,EIR,TA,LANI,API,APE,LNICTI,LCEC,LC,Stability,ALRBL,BLNR,BS,PL,B,NLP,LLR,SR,G,APS,UNPROFOR,UNPROFOR relations,PCNIRH,PCAO,RGDPGR ,CPI,SDR,EC,Class
1,0,1,1,0.75,0.5,0.833,0.75,1,0.052,0.052,0.25,0.036,0.053,0.059,0.934,0.956,0.683,0.032,0.012,0.005,0.998,0.699,0.764,1,1,1,1,0,1,1,0,0.5,0.25,1,0.158,0,0,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
0.474,0.4,1,1,0.75,0.75,1,1,0.75,0.078,0.078,0.25,0.104,0.065,0.132,0.895,0.881,0.628,0.065,0.091,0.129,0.877,0.043,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
1,0.4,1,1,0.75,0.75,1,1,0.5,0.389,0.389,0.25,0.103,0.067,0.116,0.921,0.958,0.833,0.183,0.047,0.018,0.997,0.464,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
1,0.4,1,1,1,0.75,0.667,0.25,0.75,0.207,0.207,0.25,0.106,0.121,0.13,0.842,0.899,0.671,0.123,0.006,0.002,1,0.948,0.84,1,1,1,1,0,1,1,0,0.5,0.25,1,0.08,0,0,0.222,0.581,0.689,0.751,0.22,0.228,Farmers-good
1,0.4,1,1,1,1,1,1,1,0.156,0.156,0.75,0.285,0.175,0.324,0.781,0.692,0.61,0.167,0.267,0.569,0.407,0,0.429,1,0.75,0.884,0,0,1,1,0.25,0.75,0.75,1,0.108,0,0,0.327,0.675,0.647,1,0.375,0.491,Farmers-good
0.842,0.6,1,1,1,1,1,1,0.75,0.13,0.13,0.75,0.321,0.151,0.34,0.671,0.764,0.702,0.147,0.154,0.107,0.93,0.277,1,1,0.5,0.947,0,0,1,1,0.25,0.75,0.5,0,0,1,0.5,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
1,0.4,1,1,1,0.5,0.5,0.25,0.75,0.467,0.467,0.5,0.401,0.601,0.457,0.921,0.525,0.579,0.355,0.377,0.2,0.904,0,0.657,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,0.8,0.11,0.348,0.742,0.316,0.008,0.813,Farmers-good
0.947,0.6,1,1,0.75,0.5,0.833,0.75,0.5,0.259,0.259,0.75,0.199,0.104,0.269,0.605,0.605,0.446,0.184,0,0,1,1,0,1,1,1,1,0,1,1,0,0.5,0.75,1,0.147,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.421,0,1,1,1,1,0.917,0.75,0.75,0.078,0.078,0.25,0.182,0.311,0.209,0.824,0.828,0.653,0.223,0.172,0.497,0.458,0,1,1,1,0.894,0,0,1,0,0.25,0.25,0.25,1,0.132,0,0,0.327,0.675,0.647,1,0.375,0.491,Farmers-good
1,0.6,1,1,0.75,0.5,0.833,0.75,1,0.648,0.648,0.25,0.117,0.202,0.137,0.824,0.91,0.716,0.435,0.106,0.046,0.985,0.049,0.764,1,0.25,1,1,0,1,1,0,0.5,0.5,1,0.12,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.842,0.2,1,1,0.75,0.5,0.833,0.75,1,0.104,0.104,0.25,0.077,0.266,0.103,0.824,0.912,0.644,0.151,0.085,0.027,1,0,0.701,1,0.5,1,1,0,1,1,0,0.5,0.25,1,0.1,0,0,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.75,0.117,0.117,0.5,0.171,0.224,0.201,0.842,0.822,0.632,0.125,0.092,0.071,0.949,0.252,0.589,1,1,1,1,0,1,1,0,0.5,0.75,1,0.133,0,0,0.047,0.303,0.862,0.733,0.164,0.679,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.75,0.15,0.15,0.25,0.172,0.204,0.193,0.789,0.861,0.693,0.129,0.141,0.125,0.903,0.046,0.971,1,0.75,1,1,0,1,1,0,0.5,0.25,1,0.2,0,0,0.047,0.303,0.862,0.733,0.164,0.679,Farmers-good
0.895,0.4,1,1,1,1,0.833,0.5,0.5,0.324,0.324,0.5,0.243,0.281,0.259,0.868,0.836,0.724,1,0.028,0.01,0.999,0.855,0.714,1,1,0.571,0,1,1,1,0.25,0.75,0.25,0,0,1,1,0.047,0.303,0.862,0.733,0.164,0.679,Farmers-good
1,0.4,1,1,1,0.5,0.333,0,1,0.156,0.156,0.75,0.346,0.328,0.354,0.605,0.802,0.754,0.234,0.292,0.178,0.897,0,0.337,1,0.5,1,1,0,1,1,0,0.5,0.5,0,0,1,0.8,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
0.632,0.2,1,1,0.75,0.75,1,1,1,0.778,0.778,0.5,0.567,0.267,0.59,0.342,0.561,0.683,0.552,0.302,0.129,0.961,0.316,1,1,0.5,1,1,0,1,1,0,0.5,0.25,1,0.132,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
0.895,0.4,1,1,0.75,0.5,0.833,0.75,0.5,0.518,0.518,0.5,0.732,0.445,0.69,0.561,0.758,0.84,0.535,0,0,1,1,0.943,1,0.5,0.471,0,0,1,1,0.25,0.75,0.25,0,0,1,1,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
1,0.4,1,1,1,1,1,1,1,0.181,0.181,0.5,0.349,0.178,0.337,0.802,0.896,0.857,0.213,0.046,0.024,0.989,0.758,1,1,0.5,1,1,0,1,1,0,0.5,0.5,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.6,1,0.8,1,0.5,0.667,0.5,0.5,0.518,0.518,0.75,0.652,0.33,0.646,0.473,0.638,0.753,0.754,0.466,0.216,0.921,0.091,0.943,1,0.5,0.186,0,0,1,1,0.25,0.75,0.5,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.737,0.6,1,1,1,1,0.917,0.75,0.5,0.259,0.259,0.5,0.184,0.096,0.202,0.737,0.868,0.718,0.179,0.019,0.006,1,0.889,0.273,1,1,1,1,0.002,1,1,0,0.5,0.75,1,0.167,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
